&nbsp;,Time,Freq.,RSSI,SNR,TxPwr,CRC,mod.,CR,DataRate,FCnt,AirTime,DevAddr,FPort,Payload Size,MAC Command
Unconfirmed Data Up,19:01:05,867.5,-45,10,-,CRC_OK,LORA,'4/5',SF7BW125,8924,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 9A 18 EF 46 5A DD 8C CC F2 15 0F 51 9A 48 99 69 </span>
Unconfirmed Data Up,19:00:21,867.5,-45,9.75,-,CRC_OK,LORA,'4/5',SF7BW125,8923,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 ED 09 73 E9 A1 22 E2 3B 50 4A FB EA 09 5C F6 2E </span>
Unconfirmed Data Up,19:00:21,867.5,-45,11,-,CRC_OK,LORA,'4/5',SF7BW125,8922,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 2D 65 9C DF F1 8A 07 21 72 ED F9 F1 BB 70 09 9E </span>
Unconfirmed Data Up,19:00:21,867.5,-45,10,-,CRC_OK,LORA,'4/5',SF7BW125,8921,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 07 CF 66 58 4A AE A3 30 AC 93 81 C1 BD 66 84 33 </span>
Unconfirmed Data Up,19:00:21,867.5,-45,10.5,-,CRC_OK,LORA,'4/5',SF7BW125,8920,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 D6 1B DC 59 E4 DA 62 98 64 6C 1F 07 51 0B 01 77 </span>
Unconfirmed Data Up,19:00:21,867.5,-44,10.25,-,CRC_OK,LORA,'4/5',SF7BW125,8919,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 3F EC B3 64 1A EB 18 FB 79 05 4F 29 DB 26 82 FD </span>
Unconfirmed Data Up,19:00:21,867.5,-44,10.25,-,CRC_OK,LORA,'4/5',SF7BW125,8918,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 D4 53 61 90 A2 96 71 8B 8A BD 28 B0 51 CD 8A B6 </span>
Unconfirmed Data Up,18:58:21,867.5,-44,10.5,-,CRC_OK,LORA,'4/5',SF7BW125,8911,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 68 5E 10 35 7B AD 6A AC 7A 8E 0A 37 AC 35 40 A2 </span>
Unconfirmed Data Up,18:58:21,867.5,-44,10.25,-,CRC_OK,LORA,'4/5',SF7BW125,8910,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 F2 0A 14 C4 7E 56 9A 3E 9A 5F 8D D5 70 C4 B0 04 </span>
Unconfirmed Data Up,18:58:21,867.5,-44,10.25,-,CRC_OK,LORA,'4/5',SF7BW125,8909,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 9C 97 A6 EF EC 4A FA AD 82 3B 24 F0 DF 4C 3D 3C </span>
