&nbsp;,Time,Freq.,RSSI,SNR,TxPwr,CRC,mod.,CR,DataRate,FCnt,AirTime,DevAddr,FPort,Payload Size,MAC Command
Unconfirmed Data Up,17:24:56,867.1,-50,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,7958,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 FA 47 9A 0B 00 D7 3A A3 6F 82 52 E2 95 56 09 16 </span>
Unconfirmed Data Up,17:24:46,867.1,-50,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,7957,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 A9 94 B4 FA 82 B1 EF 32 10 41 16 65 55 17 3B 4D </span>
Unconfirmed Data Up,17:24:36,867.1,-51,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,7956,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 27 51 FD F4 D1 91 D0 2B 8B 9C 01 86 74 25 9B AB </span>
Unconfirmed Data Up,17:24:26,867.1,-50,14,-,CRC_OK,LORA,'4/5',SF7BW125,7955,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 49 41 4F E8 88 E5 DF EE 8F 0C 35 4E B2 19 C8 44 </span>
Unconfirmed Data Up,17:24:16,867.1,-51,13.5,-,CRC_OK,LORA,'4/5',SF7BW125,7954,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 A3 02 6D 2B 5C 2F 09 59 7A A6 83 B6 73 14 86 B0 </span>
Unconfirmed Data Up,17:24:06,867.1,-49,14.5,-,CRC_OK,LORA,'4/5',SF7BW125,7953,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 CB 7C E4 88 15 1A 4E 66 C5 5D 53 F3 7E 9C E0 6E </span>
Unconfirmed Data Up,17:23:56,867.1,-49,13.5,-,CRC_OK,LORA,'4/5',SF7BW125,7952,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 70 12 4B 1E DA D3 FE 9E 2D EF 4C 76 28 4B 0B 94 </span>
Unconfirmed Data Up,17:23:46,867.1,-49,13.75,-,CRC_OK,LORA,'4/5',SF7BW125,7951,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 74 D3 42 26 13 82 8B C2 26 85 9F AA F8 39 59 6C </span>
Unconfirmed Data Up,17:23:36,867.1,-49,13.5,-,CRC_OK,LORA,'4/5',SF7BW125,7950,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 38 88 1B FC FD C6 A8 95 B3 C4 AC 49 D6 F5 D7 E2 </span>
Unconfirmed Data Up,17:23:26,867.1,-48,13.75,-,CRC_OK,LORA,'4/5',SF7BW125,7949,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 64 03 83 E2 1B F1 06 63 CD D4 46 67 50 31 DB 16 </span>
Unconfirmed Data Up,17:23:16,867.1,-49,13.5,-,CRC_OK,LORA,'4/5',SF7BW125,7948,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 97 55 28 BA 4C BD 87 EA 10 8C B8 23 4B DC D2 89 </span>
Unconfirmed Data Up,17:23:06,867.1,-49,13.75,-,CRC_OK,LORA,'4/5',SF7BW125,7947,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 07 92 33 E4 AE 35 9F 02 92 F6 01 97 EE 7B A3 7B </span>
Unconfirmed Data Up,17:22:56,867.1,-49,13.5,-,CRC_OK,LORA,'4/5',SF7BW125,7946,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 F8 AD 0A 6C 14 2F 97 C6 B3 9E 4A BA 29 1F 45 DC </span>
Unconfirmed Data Up,17:22:46,867.1,-49,13.75,-,CRC_OK,LORA,'4/5',SF7BW125,7945,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 9E 63 34 2A 2F 55 E0 0F AE DF 69 4D 93 1D 4A 7B </span>
Unconfirmed Data Up,17:22:36,867.1,-49,14,-,CRC_OK,LORA,'4/5',SF7BW125,7944,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 BF 70 C7 80 2B 0B 00 9D 21 A1 88 52 2B B2 57 60 </span>
Unconfirmed Data Up,17:22:26,867.1,-49,14,-,CRC_OK,LORA,'4/5',SF7BW125,7943,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 84 B4 77 4F 32 D6 A4 71 9B E9 99 B2 94 E6 10 BD </span>
Unconfirmed Data Up,17:22:16,867.1,-49,13.75,-,CRC_OK,LORA,'4/5',SF7BW125,7942,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 1A 7E FC B7 3B CB 37 69 00 F3 0A 4E A9 C3 39 C4 </span>
Unconfirmed Data Up,17:22:06,867.1,-49,13.75,-,CRC_OK,LORA,'4/5',SF7BW125,7941,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 41 C7 83 B6 A5 7F 9D BD 42 A4 BB E8 E1 FF 90 BF </span>
Unconfirmed Data Up,17:21:56,867.1,-49,13.75,-,CRC_OK,LORA,'4/5',SF7BW125,7940,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 78 90 40 4E FE C1 15 A5 CB C8 60 DB 3B 22 14 86 </span>
Unconfirmed Data Up,17:21:46,867.1,-49,13.75,-,CRC_OK,LORA,'4/5',SF7BW125,7939,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 57 95 54 2B 09 E5 A8 75 34 B3 C9 B8 82 26 38 33 </span>
Unconfirmed Data Up,17:21:36,867.1,-49,14.5,-,CRC_OK,LORA,'4/5',SF7BW125,7938,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 6A CE 1E 8C 88 1E 17 02 13 28 FF D7 55 AB BA 1A </span>
Unconfirmed Data Up,17:21:26,867.1,-49,13.5,-,CRC_OK,LORA,'4/5',SF7BW125,7937,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 F8 CE 9C 9C 5C 67 2F BC 4E 87 D9 C9 36 1C D7 41 </span>
Unconfirmed Data Up,17:21:16,867.1,-49,13.75,-,CRC_OK,LORA,'4/5',SF7BW125,7936,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 B9 C9 87 09 61 38 19 79 30 AB 4F 88 24 FA C1 80 </span>
Unconfirmed Data Up,17:21:06,867.1,-50,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,7935,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 10 C9 CB 11 21 B0 A7 D8 07 EA A4 5C 72 7A 92 98 </span>
Unconfirmed Data Up,17:20:56,867.1,-50,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,7934,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 0D D9 23 18 92 55 2F 3A 3F 65 01 91 5C 5B 91 AE </span>
Unconfirmed Data Up,17:20:46,867.1,-50,14.5,-,CRC_OK,LORA,'4/5',SF7BW125,7933,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 95 FB B9 40 66 2D 19 83 C6 DD C2 BA 9B 99 A3 27 </span>
Unconfirmed Data Up,17:20:36,867.1,-50,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,7932,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 D2 5E 60 DA CB 4E 20 52 8D FD 2C F9 7E AA EA AF </span>
Unconfirmed Data Up,17:20:26,867.1,-50,14.75,-,CRC_OK,LORA,'4/5',SF7BW125,7931,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 29 8E 70 82 13 06 76 A5 06 D8 DA 88 FF 83 60 41 </span>
Unconfirmed Data Up,17:20:16,867.1,-49,13.75,-,CRC_OK,LORA,'4/5',SF7BW125,7930,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 FC FB 78 91 D0 44 45 1B 8D ED 42 D4 6D 40 10 D9 </span>
Unconfirmed Data Up,17:20:06,867.1,-49,13.75,-,CRC_OK,LORA,'4/5',SF7BW125,7929,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 1A 7A F8 A3 D0 AF 34 87 80 60 A8 3C F5 BE 64 E5 </span>
Unconfirmed Data Up,17:19:56,867.1,-50,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,7928,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 93 20 28 61 A8 46 B4 9C CA 57 3D 13 4A B2 BD 20 </span>
Unconfirmed Data Up,17:19:46,867.1,-49,14,-,CRC_OK,LORA,'4/5',SF7BW125,7927,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 4C 7C D7 26 A0 80 68 FE 01 1C 90 1E B3 41 89 0A </span>
Unconfirmed Data Up,17:19:37,867.1,-50,14,-,CRC_OK,LORA,'4/5',SF7BW125,7926,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 BC 67 23 53 A9 C0 AE 0B 44 6B F2 91 B1 5D 26 7F </span>
Unconfirmed Data Up,17:19:26,867.1,-49,14.5,-,CRC_OK,LORA,'4/5',SF7BW125,7925,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 3B 68 D1 F1 36 B2 8B E4 BD A0 85 90 C8 F1 F1 29 </span>
